SampID,date,type,cruise,exp,treatment,rep,Compound,Area,Fragment_mz
230808_Smp_TN397_UKH1_2nM_A,230808,Smp,TN397,UKH1,2nM,A,D3-Homarine,22031960,97.0954
230808_Smp_TN397_UKH1_2nM_B,230808,Smp,TN397,UKH1,2nM,B,D3-Homarine,27498724,97.0954
230808_Smp_TN397_UKH1_2nM_C,230808,Smp,TN397,UKH1,2nM,C,D3-Homarine,26863096,97.0954
230808_Smp_TN397_UKH1_5nM_A,230808,Smp,TN397,UKH1,5nM,A,D3-Homarine,31214320,97.0954
230808_Smp_TN397_UKH1_5nM_B,230808,Smp,TN397,UKH1,5nM,B,D3-Homarine,44637492,97.0954
230808_Smp_TN397_UKH1_5nM_C,230808,Smp,TN397,UKH1,5nM,C,D3-Homarine,32628768,97.0954
230808_Smp_TN397_UKH1_10nM_A,230808,Smp,TN397,UKH1,10nM,A,D3-Homarine,61796380,97.0954
230808_Smp_TN397_UKH1_10nM_B,230808,Smp,TN397,UKH1,10nM,B,D3-Homarine,69511792,97.0954
230808_Smp_TN397_UKH1_10nM_C,230808,Smp,TN397,UKH1,10nM,C,D3-Homarine,86028864,97.0954
230808_Smp_TN397_UKH1_50nM_A,230808,Smp,TN397,UKH1,50nM,A,D3-Homarine,111037592,97.0954
230808_Smp_TN397_UKH1_50nM_B,230808,Smp,TN397,UKH1,50nM,B,D3-Homarine,87836616,97.0954
230808_Smp_TN397_UKH1_50nM_C,230808,Smp,TN397,UKH1,50nM,C,D3-Homarine,152683072,97.0954
230808_Smp_TN397_UKH1_200nM_A,230808,Smp,TN397,UKH1,200nM,A,D3-Homarine,253501664,97.0954
230808_Smp_TN397_UKH1_200nM_B,230808,Smp,TN397,UKH1,200nM,B,D3-Homarine,309969536,97.0954
230808_Smp_TN397_UKH1_200nM_C,230808,Smp,TN397,UKH1,200nM,C,D3-Homarine,284735488,97.0954
230808_Smp_TN397_UKH1_1000nM_A,230808,Smp,TN397,UKH1,1000nM,A,D3-Homarine,520905792,97.0954
230808_Smp_TN397_UKH1_1000nM_B,230808,Smp,TN397,UKH1,1000nM,B,D3-Homarine,436619040,97.0954
230808_Smp_TN397_UKH1_1000nM_C,230808,Smp,TN397,UKH1,1000nM,C,D3-Homarine,476164064,97.0954
230808_Smp_TN397_UKH2_0nM_A,230808,Smp,TN397,UKH2,0nM,A,D3-Homarine,69784,97.0954
230808_Smp_TN397_UKH2_0nM_B,230808,Smp,TN397,UKH2,0nM,B,D3-Homarine,78395,97.0954
230808_Smp_TN397_UKH2_0nM_Blk,230808,Smp,TN397,UKH2,0nM,Blk,D3-Homarine,293832,97.0954
230808_Smp_TN397_UKH2_0nM_C,230808,Smp,TN397,UKH2,0nM,C,D3-Homarine,18807,97.0954
230808_Smp_TN397_UKH2_2nM_A,230808,Smp,TN397,UKH2,2nM,A,D3-Homarine,14286235,97.0954
230808_Smp_TN397_UKH2_2nM_B,230808,Smp,TN397,UKH2,2nM,B,D3-Homarine,8789532,97.0954
230808_Smp_TN397_UKH2_2nM_C,230808,Smp,TN397,UKH2,2nM,C,D3-Homarine,11667749,97.0954
230808_Smp_TN397_UKH2_5nM_A,230808,Smp,TN397,UKH2,5nM,A,D3-Homarine,26830354,97.0954
230808_Smp_TN397_UKH2_5nM_B,230808,Smp,TN397,UKH2,5nM,B,D3-Homarine,19450986,97.0954
230808_Smp_TN397_UKH2_5nM_Blk,230808,Smp,TN397,UKH2,5nM,Blk,D3-Homarine,1193712,97.0954
230808_Smp_TN397_UKH2_5nM_C,230808,Smp,TN397,UKH2,5nM,C,D3-Homarine,21040020,97.0954
230808_Smp_TN397_UKH2_10nM_A,230808,Smp,TN397,UKH2,10nM,A,D3-Homarine,38304084,97.0954
230808_Smp_TN397_UKH2_10nM_B,230808,Smp,TN397,UKH2,10nM,B,D3-Homarine,44193156,97.0954
230808_Smp_TN397_UKH2_10nM_C,230808,Smp,TN397,UKH2,10nM,C,D3-Homarine,35176476,97.0954
230808_Smp_TN397_UKH2_50nM_A,230808,Smp,TN397,UKH2,50nM,A,D3-Homarine,110597808,97.0954
230808_Smp_TN397_UKH2_50nM_B,230808,Smp,TN397,UKH2,50nM,B,D3-Homarine,122085008,97.0954
230808_Smp_TN397_UKH2_50nM_Blk,230808,Smp,TN397,UKH2,50nM,Blk,D3-Homarine,8201684,97.0954
230808_Smp_TN397_UKH2_50nM_C,230808,Smp,TN397,UKH2,50nM,C,D3-Homarine,132032800,97.0954
230808_Smp_TN397_UKH2_200nM_A,230808,Smp,TN397,UKH2,200nM,A,D3-Homarine,156552960,97.0954
230808_Smp_TN397_UKH2_200nM_B,230808,Smp,TN397,UKH2,200nM,B,D3-Homarine,201671136,97.0954
230808_Smp_TN397_UKH2_200nM_C,230808,Smp,TN397,UKH2,200nM,C,D3-Homarine,186435536,97.0954
230808_Smp_TN397_UKH2_1000nM_A,230808,Smp,TN397,UKH2,1000nM,A,D3-Homarine,365642400,97.0954
230808_Smp_TN397_UKH2_1000nM_B,230808,Smp,TN397,UKH2,1000nM,B,D3-Homarine,379650752,97.0954
230808_Smp_TN397_UKH2_1000nM_Blk,230808,Smp,TN397,UKH2,1000nM,Blk,D3-Homarine,173022544,97.0954
230808_Smp_TN397_UKH2_1000nM_C,230808,Smp,TN397,UKH2,1000nM,C,D3-Homarine,500793536,97.0954
230808_Smp_TN397_UKH3_0nM_A,230808,Smp,TN397,UKH3,0nM,A,D3-Homarine,636509,97.0954
230808_Smp_TN397_UKH3_0nM_B,230808,Smp,TN397,UKH3,0nM,B,D3-Homarine,440417,97.0954
230808_Smp_TN397_UKH3_0nM_C,230808,Smp,TN397,UKH3,0nM,C,D3-Homarine,412887,97.0954
230808_Smp_TN397_UKH3_5nM_A,230808,Smp,TN397,UKH3,5nM,A,D3-Homarine,27525560,97.0954
230808_Smp_TN397_UKH3_5nM_B,230808,Smp,TN397,UKH3,5nM,B,D3-Homarine,25256614,97.0954
230808_Smp_TN397_UKH3_5nM_C,230808,Smp,TN397,UKH3,5nM,C,D3-Homarine,22871218,97.0954
230808_Smp_TN397_UKH3_10nM_A,230808,Smp,TN397,UKH3,10nM,A,D3-Homarine,41060556,97.0954
230808_Smp_TN397_UKH3_10nM_B,230808,Smp,TN397,UKH3,10nM,B,D3-Homarine,49087296,97.0954
230808_Smp_TN397_UKH3_10nM_C,230808,Smp,TN397,UKH3,10nM,C,D3-Homarine,47514768,97.0954
230808_Smp_TN397_UKH3_50nM_A,230808,Smp,TN397,UKH3,50nM,A,D3-Homarine,109510248,97.0954
230808_Smp_TN397_UKH3_50nM_B,230808,Smp,TN397,UKH3,50nM,B,D3-Homarine,175200784,97.0954
230808_Smp_TN397_UKH3_50nM_C,230808,Smp,TN397,UKH3,50nM,C,D3-Homarine,181006272,97.0954
230808_Smp_TN397_UKH3_200nM_A,230808,Smp,TN397,UKH3,200nM,A,D3-Homarine,307262144,97.0954
230808_Smp_TN397_UKH3_200nM_B,230808,Smp,TN397,UKH3,200nM,B,D3-Homarine,356851904,97.0954
230808_Smp_TN397_UKH3_200nM_C,230808,Smp,TN397,UKH3,200nM,C,D3-Homarine,399328960,97.0954
230808_Smp_TN397_UKH3_500nM_A,230808,Smp,TN397,UKH3,500nM,A,D3-Homarine,472834176,97.0954
230808_Smp_TN397_UKH3_500nM_B,230808,Smp,TN397,UKH3,500nM,B,D3-Homarine,639542720,97.0954
230808_Smp_TN397_UKH3_500nM_C,230808,Smp,TN397,UKH3,500nM,C,D3-Homarine,456333408,97.0954
230808_Smp_TN397_UKH3_1500nM_A,230808,Smp,TN397,UKH3,1500nM,A,D3-Homarine,903358528,97.0954
230808_Smp_TN397_UKH3_1500nM_B,230808,Smp,TN397,UKH3,1500nM,B,D3-Homarine,962107072,97.0954
230808_Smp_TN397_UKH3_1500nM_C,230808,Smp,TN397,UKH3,1500nM,C,D3-Homarine,1367631744,97.0954
230808_Smp_TN397_UKH1_0nM_A,230808,Smp,TN397,UKH1,0nM,A,D3-Homarine,285326,78.0399
